row__restname,row__la,row__lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가전5리(신한@)경로당,36.764606,127.288009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
병천1리경로당,36.759992,127.2966208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
병천2리경로당,36.761759,127.297153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
병천5리경로당,36.764701,127.299501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
법성6리경로당,35.3554,126.4495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
법성여자경로당,35.3629,126.4453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수성당,34.723433,126.903046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자갈금경로당,35.3685,126.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
법성면사무소,35.362,126.4461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
법성1리경로당,35.3613,126.4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월계1동경로당,37.6166025,127.064395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월성경로당,37.6212999,127.0587409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선곡경로당,37.6176181,127.0582983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
풍림아파트경로당,37.491694,126.679445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영남아파트 경로당,37.493865,126.678211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신현대아파트 경로당,37.491072,126.676278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대아파트 경로당,37.49518,126.681645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진주아파트 5단지 경로당,37.492151,126.685842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진주아파트 2단지 경로당,37.4922738,126.6841667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가좌3동경로당,37.492483,126.679895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
