무더위쉼터,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산후1리 경로당,36.7909437,126.2965386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삭선2리 경로당,36.773738,126.2824025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신동아관리소,36.7754233,126.2848476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동문2리 경로당,36.755028,126.2971494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주공 관리소,36.7476851,126.307769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙경로당,34.8848728,126.987757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율계리경로당,34.8736149,127.0018565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효경골경로당,37.622,126.9113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈현베르빌아파트경로당,37.6122,126.9169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈현미미아파트경로당,37.619,126.9136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈현한솔아파트경로당,37.6179,126.9099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
등서 어르신사랑방,37.559189,126.854568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
능안 어르신사랑방,37.5465037,126.8600937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동수원자이2차 경로당,37.2404983,127.0530088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벌터경로당,37.2491826,127.0464324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청와(아)경로당,37.2419604,127.0527027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG1차(아)경로당,37.2367094,127.053079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신성경로당,35.7188409,126.6244573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양지경로당,35.7355798,126.6248072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장원경로당,35.724904,126.6102113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하소동제1경로당,36.2193354,127.4415893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상소곡남경로당,36.2283744,127.4558513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대별동경로당,36.2848806,127.4571815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상소동(남)경로당,36.2282678,127.4479435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일신삼익경로당,37.688963,126.7644498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동문5차경로당,37.6887598,126.769727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산들마을 6단지 경로당,37.6843593,126.7775066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대 홈타운 1차 경로당,37.6845129,126.7724236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대 홈타운 2차 경로당,37.6832989,126.7725626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영흥1리 마을회관,37.188685,128.46961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장미공원,37.180762,128.463213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
